GRIDID,FID_1,Id,POINT_X,POINT_Y,GRIDID_1
173526,173526,0,-82.0438492675,39.9542649541,173526
173527,173527,0,-81.9854419527,39.9477217451,173527
173528,173528,0,-81.9270453009,39.9411514308,173528
173529,173529,0,-81.8686593532,39.9345540189,173529
173530,173530,0,-81.8102841507,39.9279295169,173530
173531,173531,0,-81.7519197346,39.9212779325,173531
173532,173532,0,-81.6935661459,39.9145992734,173532
173533,173533,0,-81.6352234254,39.9078935473,173533
173534,173534,0,-81.5768916143,39.9011607619,173534
173535,173535,0,-81.5185707533,39.8944009249,173535
173536,173536,0,-81.4602608833,39.8876140442,173536
173537,173537,0,-81.401962045,39.8808001276,173537
173538,173538,0,-81.3436742793,39.8739591829,173538
173539,173539,0,-81.2853976267,39.8670912179,173539
173540,173540,0,-81.227132128,39.8601962406,173540
173541,173541,0,-81.1688778237,39.8532742588,173541
173542,173542,0,-81.1106347543,39.8463252805,173542
173543,173543,0,-81.0524029604,39.8393493136,173543
173545,173545,0,-80.9359733607,39.8253164463,173545
173546,173546,0,-80.8777756356,39.8182595618,173546
173547,173547,0,-80.8195893474,39.811175721,173547
174329,174329,0,-82.6787636162,40.0686370487,174329
174330,174330,0,-82.6202064001,40.0623885066,174330
174331,174331,0,-82.5616594098,40.0561127613,174331
174332,174332,0,-82.5031226871,40.0498098203,174332
174333,174333,0,-82.4445962736,40.0434796908,174333
174334,174334,0,-82.386080211,40.0371223802,174334
174335,174335,0,-82.3275745408,40.0307378959,174335
174336,174336,0,-82.2690793048,40.0243262453,174336
174337,174337,0,-82.2105945444,40.0178874359,174337
174338,174338,0,-82.1521203011,40.0114214752,174338
174339,174339,0,-82.0936566162,40.0049283707,174339
174340,174340,0,-82.0352035313,39.9984081299,174340
174341,174341,0,-81.9767610875,39.9918607603,174341
174342,174342,0,-81.9183293263,39.9852862697,174342
174343,174343,0,-81.8599082889,39.9786846656,174343
174344,174344,0,-81.8014980163,39.9720559556,174344
174345,174345,0,-81.7430985499,39.9654001474,174345
174346,174346,0,-81.6847099306,39.9587172487,174346
174347,174347,0,-81.6263321995,39.9520072673,174347
174348,174348,0,-81.5679653977,39.9452702109,174348
174349,174349,0,-81.5096095661,39.9385060872,174349
174350,174350,0,-81.4512647455,39.9317149041,174350
174351,174351,0,-81.3929309769,39.9248966694,174351
174352,174352,0,-81.334608301,39.9180513909,174352
174353,174353,0,-81.2762967586,39.9111790766,174353
174354,174354,0,-81.2179963904,39.9042797343,174354
174355,174355,0,-81.1597072371,39.8973533721,174355
174356,174356,0,-81.1014293392,39.8903999977,174356
174357,174357,0,-81.0431627374,39.8834196193,174357
174358,174358,0,-80.9849074721,39.8764122448,174358
174359,174359,0,-80.9266635838,39.8693778823,174359
174360,174360,0,-80.868431113,39.8623165398,174360
174361,174361,0,-80.8102100999,39.8552282254,174361
